Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,happiness score,Cluster
Asia,Southern Asia,Afghanistan,1.5482258477289814,1.6260075091230275,1.8447061133514784,2.114975094276263,1.7130771723997444,0.6237679704355499,-0.698666323234517,0.6947997363392989,2.5931456063440703,-1.7968716478600215,1.427697121808805,1.8779574900839309,-0.2730462658845455,0.9131095305850908,1.9131049496022439,2.6518518181765263,0.9245829494739893,1.3504738753815029,0.41020710000921107,1.3882913206579863,1.2941719174067456,0.28576388888136195,1.7497425349594669,-2.0278561821698604,-1.7360347706864627,-1.7336619399220299,-2.6520170534185206,-2.3383465084501958,-1.593985025301554,-1.8445933735119129,-0.8494296049814377,-2.3249766639030214,-1.7214837232552131,-1.429855066958685,-1.6650256144987603,-1.879170688138854,1.7209999561309814,2
Africa,North Africa,Libya,1.4209940629725935,1.2969199266766918,1.554544516059844,2.114975094276263,1.7130771723997444,-1.321447405949639,-0.698666323234517,1.8867672840147183,-0.7529286192250216,0.3206087132884569,1.0973067806707961,1.1822841780182904,-0.519298272032757,2.111954016319258,0.5536452468289262,1.4504259944486633,2.327816311847357,1.4175630537466584,2.0857620270309623,1.091569033961429,1.5065657780015602,-0.02235024829239711,0.1274832431395608,-2.003390197319264,-1.7360347706864627,-1.4758832385314662,-1.83568644526896,-2.044530833885816,-1.593985025301554,-1.8445933735119129,-1.9351243981034076,-2.3249766639030214,-1.449818671261545,-1.6911827449160959,-1.9380502054913353,-1.6264320520337676,5.866300106048584,1
Asia,South-Eastern Asia,Myanmar,2.334069224165496,2.1617314805472954,1.554544516059844,1.3843243904660267,1.7130771723997444,1.9205782213590092,1.9298444055035289,1.6881060260688152,2.5931456063440703,-0.6204936694442003,-0.5546449250192483,2.3417396981276912,1.4507177771529352,1.5125317734521744,0.5536452468289262,1.4504259944486633,1.6261996306606732,2.289722372493683,2.295206392908681,1.3882913206579863,1.2941719174067456,2.134448711923916,1.4793659863228157,-1.9483417314054212,-1.7360347706864627,-1.4758832385314662,-2.1077966479854804,-2.044530833885816,-1.593985025301554,-1.8445933735119129,-1.6637006998229151,-1.6978341116552462,-1.7214837232552131,-1.6911827449160959,-1.6650256144987603,-1.6264320520337676,4.354499816894531,1
Asia,Western Asia,Yemen,1.1515620481943605,0.5775191650498174,1.8447061133514784,1.8714248596728509,1.939067530754598,-0.6730422804879095,-0.43581525036071245,1.0921222522311054,-0.7529286192250216,-1.326320456493693,-0.8850352661572572,-0.2090624461129903,-1.5043062966256031,1.2128206520186327,0.8255371873835897,0.8497130825847319,1.8600718577229012,1.55174141047697,1.2479845635200866,1.3882913206579863,0.8693841962171166,1.8263345747501574,0.6682363404128628,-1.874943776853631,-1.7360347706864627,-1.4758832385314662,-1.56357624255244,-2.044530833885816,-1.593985025301554,-1.5707422034443752,-1.9351243981034076,-1.6978341116552462,-1.449818671261545,-1.6911827449160959,-1.9380502054913353,-1.3736934159286813,3.561000108718872,2
Americas,South America,Venezuela,1.2638253876852907,0.883647148720828,0.9742213214765753,1.1407741558626145,1.2610964556900375,-0.24077219684675635,-0.9615173961083217,1.6881060260688152,-0.9919339210513853,1.967537883070607,1.0973067806707961,-0.9047357581786306,-0.519298272032757,1.2128206520186327,0.28175330627426276,1.1500695385166975,1.6261996306606732,1.4846522321118145,2.295206392908681,-0.392042399521358,1.2941719174067456,1.2101063004026391,0.6682363404128628,-1.7954293260891918,-1.4651740506036113,-1.4758832385314662,-2.3799068507020005,-2.044530833885816,-1.593985025301554,-1.8445933735119129,-1.1208533032619301,-1.6978341116552462,-1.449818671261545,-1.429855066958685,-1.3920010235061853,-1.3736934159286813,5.6066999435424805,1
Americas,Caribbean & Central,Nicaragua,0.5154031244124203,0.27139118137880763,0.6840597241849409,0.4101234520523781,0.35713502227062344,0.8399030122561264,0.615589041134506,0.6947997363392989,-0.7529286192250216,1.4969866917042782,0.4365260983947784,-0.6728446541567505,-0.519298272032757,-1.1848683194497012,0.5536452468289262,0.5493566266527661,-0.9463948670238345,0.6795820917299454,0.41020710000921107,0.49812446056831416,1.2941719174067456,0.593878026055121,-0.4132698541337412,-1.673099401836208,-1.7360347706864627,-1.7336619399220299,-2.1077966479854804,-1.4568994847570556,-1.3319414904777038,-1.2968910333768373,-1.3922770015424226,-1.3842628355313586,-1.449818671261545,-1.1685273890012737,-0.8459518415210354,-1.879170688138854,6.283899784088135,1
Africa,West Africa,Mali,0.6725717996997231,1.2203879307589387,0.9742213214765753,0.8972239212592024,1.2610964556900375,0.4076329286149733,0.08988689538689676,1.2907835101770087,-0.5139233173986578,0.5558843089716212,1.0973067806707961,0.9503930739964103,0.2194577464118775,0.6133984091515492,0.8255371873835897,1.4504259944486633,1.8600718577229012,0.14286866480869967,-0.00868163174622672,0.7948467472648715,0.8693841962171166,-0.9466926598136743,-0.4132698541337412,-1.4896045154567328,-1.1943133305207598,-0.9603258357503387,-1.0193558371193996,-1.7507151593214356,-1.069897955653854,-1.5707422034443752,-1.9351243981034076,-1.3842628355313586,-1.449818671261545,-1.429855066958685,-1.3920010235061853,-0.8682161437185087,4.23199987411499,2
Africa,Southern Africa,Comoros,-0.8317569494787462,-0.876588757387481,-0.47658666498159646,0.6536736866557903,-0.772816769503644,-0.4569072386673329,0.615589041134506,-1.0931515851738303,0.2030925880804333,-1.326320456493693,-1.215425607295266,-0.2090624461129903,-1.5043062966256031,-0.5854460765826177,-0.8058144559443913,-0.351712741143131,-1.1802670940860625,-0.7292906539383254,-1.26534782701254,-0.6887646862179154,0.4445964750274875,-0.3304643854661562,-0.9540229514070432,-1.4896045154567328,-1.4651740506036113,-1.2181045371409025,-1.56357624255244,-1.7507151593214356,-1.3319414904777038,-1.5707422034443752,-1.1208533032619301,-0.4435490071596958,-0.9064885672742087,-1.429855066958685,-1.6650256144987603,-1.3736934159286813,3.5662999153137207,2
Africa,Central Africa,Chad,0.350750226492389,0.1718995866857287,0.6840597241849409,1.1407741558626145,1.487086814044891,-1.1053123641290625,-0.698666323234517,1.2907835101770087,-0.9919339210513853,-0.14994247807787164,0.4365260983947784,1.1822841780182904,-0.7655502781809685,-1.7842905623167846,0.00986136571959923,-0.0513562852111653,0.45683849534953336,0.47831455663447836,0.41020710000921107,0.49812446056831416,1.081778056811931,-0.3304643854661562,-0.1428933054970902,-1.465138530606136,-0.9234526104379082,-1.2181045371409025,-0.47513543168635924,-1.4568994847570556,-1.3319414904777038,-1.2968910333768373,-1.1208533032619301,-1.6978341116552462,-1.449818671261545,-1.6911827449160959,-1.9380502054913353,-1.120954779823595,4.47130012512207,2
Asia,Central Asia and the Caucasus,Tajikistan,0.31332911332874563,-0.05769640106752882,0.6840597241849409,0.6536736866557903,-0.5468264111487905,-0.6730422804879095,-0.698666323234517,0.8934609942852022,2.115135002691343,-1.326320456493693,0.4365260983947784,0.25471976193076995,-1.2580542904773915,0.013976166284465725,0.28175330627426276,-0.9524256530070625,-0.47865041289937854,0.6124929133647894,0.8290958317646488,-0.09532011282480063,1.2941719174067456,-0.3304643854661562,0.1274832431395608,-1.367274591203749,-0.9234526104379082,-1.2181045371409025,-1.56357624255244,-2.044530833885816,-1.3319414904777038,-1.0230398633092994,-1.1208533032619301,-1.070691559407471,-0.9064885672742087,-1.1685273890012737,-0.8459518415210354,-1.3736934159286813,5.280700206756592,1
Asia,Western Asia,Iran,1.4958362892998809,1.909175894018712,1.2643829187682096,1.6278746250694387,1.7130771723997444,0.19149788679439675,-0.43581525036071245,1.8867672840147183,2.3541403045177067,0.3206087132884569,0.4365260983947784,2.1098485941058107,1.6969697833011466,1.8122428948857159,1.3693210684929167,2.0511389063125947,0.2229662682873054,1.015027983555724,0.41020710000921107,1.091569033961429,1.5065657780015602,0.28576388888136195,0.3978597917762118,-1.0308672995080441,-1.1943133305207598,-1.2181045371409025,-1.0193558371193996,-0.8692681356282954,-0.8078544208300039,-1.0230398633092994,-0.03515851013996029,-1.3842628355313586,-1.1781536192678768,-0.3845443551290402,-0.8459518415210354,-1.120954779823595,4.922800064086914,1
Africa,Southern Africa,Zimbabwe,0.32829755859420273,0.11832718954330237,-0.18642506768996212,-0.8076277209646826,-0.320836052793937,0.19149788679439675,1.1412911868821152,1.489444768122912,-0.03591271374593043,-0.6204936694442003,0.4365260983947784,0.25471976193076995,-0.02679425973633399,-0.285734955149076,-0.5339225153897278,1.1500695385166975,-0.7125226399616065,0.47831455663447836,-0.2181259976239456,1.091569033961429,0.8693841962171166,0.28576388888136195,-0.1428933054970902,-1.0308672995080441,-1.4651740506036113,-0.7025471343597749,-1.2914660398359197,-1.1630838101926755,-1.069897955653854,-1.0230398633092994,-0.30658220842045275,-0.4435490071596958,-0.9064885672742087,-1.1685273890012737,-0.5729272505284605,-0.8682161437185087,3.341099977493286,2
Africa,West Africa,Guinea,-0.3377982557186517,-0.08065599984285478,0.6840597241849409,-0.5640774863612704,0.13114466391576995,0.4076329286149733,0.8784401140083106,0.8934609942852022,-0.7529286192250216,1.0264355003379497,-0.5546449250192483,-0.2090624461129903,-1.2580542904773915,-0.285734955149076,0.00986136571959923,-0.0513562852111653,-1.4141393211482904,-0.5280231188428577,-1.26534782701254,0.20140217387175677,0.656990335622302,0.593878026055121,-2.0355291459536473,-1.0308672995080441,-1.1943133305207598,-0.4447684329692112,-1.2914660398359197,-0.8692681356282954,-0.5458108860061539,-0.7491886932417617,-0.8494296049814377,-1.070691559407471,-0.9064885672742087,-1.1685273890012737,-1.3920010235061853,-0.6154775076134225,5.0233001708984375,2
