"","countries","V1","V2","Ladder score"
"1","Afghanistan","AFG",355.7778264,2.5229001045227
"2","Albania","ALB",6377.203096,5.11740016937256
"3","Algeria","DZA",3700.314697,4.88710021972656
"4","Argentina","ARG",10650.86046,5.92929983139038
"5","Armenia","ARM",4972.783204,5.28259992599487
"6","Australia","AUS",60697.24544,7.18349981307983
"7","Austria","AUT",53517.89045,7.26779985427856
"8","Azerbaijan","AZE",5408.045352,5.17080020904541
"9","Bahrain","BHR",26850.00339,6.64690017700195
"10","Bangladesh","BGD",2457.924039,5.0246000289917
"11","Belarus","BLR",7489.718947,5.53350019454956
"12","Belgium","BEL",51850.39718,6.83400011062622
"13","Benin","BEN",1360.911474,5.04519987106323
"14","Bolivia","BOL",3345.023002,5.71589994430542
"15","Bosnia and Herzegovina","BIH",7230.198838,5.81309986114502
"16","Botswana","BWA",7238.796098,3.46650004386902
"17","Brazil","BRA",7696.78483,6.33010005950928
"18","Bulgaria","BGR",12219.34187,5.26550006866455
"19","Burkina Faso","BFA",888.7810788,4.83379983901978
"20","Burundi","BDI",221.1578034,3.77530002593994
"21","Cambodia","KHM",1625.235021,4.83039999008179
"22","Cameroon","CMR",1654.257037,5.14179992675781
"23","Canada","CAN",52515.19984,7.10330009460449
"24","Chad","TCD",685.690315,4.35540008544922
"25","Chile","CHL",16240.60778,6.17189979553223
"26","China","CHN",12617.5051,5.3390998840332
"27","Colombia","COL",6182.707099,6.01240015029907
"28","Comoros","COM",1577.470841,4.28859996795654
"29","Costa Rica","CRI",12604.04884,7.0693998336792
"30","Croatia","HRV",17809.03239,5.88170003890991
"31","Cyprus","CYP",32745.84375,6.22349977493286
"32","Denmark","DNK",69268.6518,7.61950016021729
"33","Dominican Republic","DOM",8476.749639,5.54510021209717
"34","Ecuador","ECU",5965.132871,5.76399993896484
"35","El Salvador","SLV",4664.311223,6.0605001449585
"36","Estonia","EST",27943.70122,6.18879985809326
"37","Ethiopia","ETH",925.0006976,4.27470016479492
"38","Finland","FIN",53504.69365,7.84210014343262
"39","France","FRA",43671.30841,6.68989992141724
"40","Gabon","GAB",8635.797144,4.85179996490479
"41","Georgia","GEO",5023.274384,4.89139986038208
"42","Germany","DEU",51426.75037,7.1545000076294
"43","Ghana","GHA",2422.085913,5.08839988708496
"44","Greece","GRC",20310.68248,5.72259998321533
"45","Guatemala","GTM",5029.477555,6.43450021743774
"46","Guinea","GIN",1189.175999,4.98430013656616
"47","Haiti","HTI",1823.742224,3.6149001121521
"48","Honduras","HND",2771.722654,5.91919994354248
"49","Hungary","HUN",18753.04695,5.99160003662109
"50","Iceland","ISL",68710.2442,7.55389976501465
"51","India","IND",2238.127142,3.8189001083374
"52","Indonesia","IDN",4334.215983,5.34450006484985
"53","Iraq","IRQ",4770.835343,4.85410022735596
"54","Ireland","IRL",102001.7982,7.08529996871948
"55","Israel","ISR",52129.51596,7.15710020065308
"56","Italy","ITA",36449.25834,6.48309993743896
"57","Jamaica","JAM",5183.581018,6.30919981002808
"58","Japan","JPN",40058.53733,5.94049978256226
"59","Jordan","JOR",4152.757954,4.39459991455078
"60","Kazakhstan","KAZ",10373.78979,6.15180015563965
"61","Kenya","KEN",2069.661129,4.60659980773926
"62","Kosovo","XKX",5269.783901,6.37200021743774
"63","Kuwait","KWT",32324.8409,6.10610008239746
"64","Latvia","LVA",20930.39824,6.03200006484985
"65","Lebanon","LBN",4136.146575,4.58379983901978
"66","Lesotho","LSO",1029.506189,3.51180005073547
"67","Liberia","LBR",675.6631858,4.62519979476929
"68","Libya","LBY",5908.951323,5.41029977798462
"69","Lithuania","LTU",23849.6157,6.25540018081665
"70","Luxembourg","LUX",133711.7944,7.32439994812012
"71","Madagascar","MDG",503.3520812,4.20849990844727
"72","Malawi","MWI",633.6097332,3.59999990463257
"73","Malaysia","MYS",11134.62295,5.38430023193359
"74","Maldives","MDV",10076.31753,5.1975998878479
"75","Mali","MLI",881.5100887,4.72349977493286
"76","Malta","MLT",34881.29127,6.60200023651123
"77","Mauritania","MRT",1998.394003,4.2273998260498
"78","Mauritius","MUS",9068.980181,6.04899978637695
"79","Mexico","MEX",10359.14986,6.31680011749268
"80","Moldova","MDA",5274.744847,5.76639986038208
"81","Mongolia","MNG",4566.14013,5.67719984054565
"82","Montenegro","MNE",9465.96153,5.58050012588501
"83","Morocco","MAR",3767.524902,4.91800022125244
"84","Mozambique","MOZ",504.0377871,4.79449987411499
"85","Myanmar","MMR",1231.694666,4.42579984664917
"86","Namibia","NAM",4919.188955,4.57410001754761
"87","Nepal","NPL",1229.394205,5.26889991760254
"88","Netherlands","NLD",58727.87055,7.46400022506714
"89","New Zealand","NZL",49996.42067,7.2765998840332
"90","Nicaragua","NIC",2064.929246,5.97209978103638
"91","Niger","NER",590.6294948,5.07410001754761
"92","Nigeria","NGA",2065.77441,4.75930023193359
"93","North Macedonia","MKD",6778.562878,5.10120010375977
"94","Norway","NOR",93072.89251,7.39249992370605
"95","Pakistan","PAK",1506.108293,4.93400001525879
"96","Panama","PAN",15491.2898,6.17959976196289
"97","Paraguay","PRY",5959.441794,5.65259981155396
"98","Peru","PER",6635.464148,5.83960008621216
"99","Philippines","PHL",3460.539382,5.8801999092102
"100","Poland","POL",18050.27944,6.166100025177
"101","Portugal","PRT",24661.16649,5.92899990081787
"102","Romania","ROU",14946.62497,6.1399998664856
"103","Rwanda","RWA",821.1713948,3.41470003128052
"104","Saudi Arabia","SAU",24315.61855,6.49399995803833
"105","Senegal","SEN",1633.560119,5.13180017471313
"106","Serbia","SRB",9232.961606,6.07789993286133
"107","Sierra Leone","SLE",504.6212876,3.84940004348755
